#Año,Tipo,Presupuesto,Programa,Económica,Descripción,Inicial
2017,G,P,9200,22604,Gastos jurídicos,114000
2017,G,P,9200,22799,Otros trabajos realizados por otras emp. y profesionales,21000
2017,G,P,9200,64100,Aplicaciones informáticas,50000
2017,G,P,9201,12001,Retribuciones básicas. Sueldos del Grupo A2,14500
2017,G,P,9201,12003,Retribuciones básicas. Sueldos del Grupo C1,22700
2017,G,P,9201,12006,Retribuciones básicas. Trienios,4100
2017,G,P,9201,12100,Retribuciones complementarias. Complemento de destino,20850
2017,G,P,9201,12101,Retribuciones complementarias. Complemento específico,29850
2017,G,P,9201,14300,Otro personal laboral,18200
2017,G,P,9201,15000,Complemento de Productividad.,19700
2017,G,P,9201,15100,Gratificaciones,3000
2017,G,P,9201,16000,Seguridad Social. Personal Funcionario,31600
2017,G,P,9201,16001,Seguridad Social. Personal Laboral,1000
2017,G,P,9201,16200,Formación y perfeccionamiento personal funcionario,250
2017,G,P,9201,20300,Arrendamiento maquinaria,50000
2017,G,P,9201,21300,"Reparaciones, mantenimiento y conservación. Maquinaría, inst",15000
2017,G,P,9201,21600,"Reparaciones, mantenimiento y cons. Equipamiento procesos",75000
2017,G,P,9201,22000,Material de oficina no inventariable,10000
2017,G,P,9201,22002,Material informático no inventariable,9000
2017,G,P,9201,22203,Comunicaciones informáticas,21000
2017,G,P,9201,22799,Otros trabajos realizados por otras empresas y profesionales,65000
2017,G,P,9201,62600,Equipos para Procesos de Información,40000
2017,G,P,9201,64100,Gastos en aplicaciones informáticas,10000
2017,G,P,9202,12003,Retribuciones básicas. Sueldos del Grupo C1,14500
2017,G,P,9202,12005,Retribuciones básicas. Sueldos del Grupo E,16900
2017,G,P,9202,12006,Retribuciones básicas. Trienios,850
2017,G,P,9202,12100,Retribuciones complementarias. Complemento de destino,16500
2017,G,P,9202,12101,Retribuciones complementaras. Complemento específico,28400
2017,G,P,9202,13000,Retribuciones básicas,23200
2017,G,P,9202,13001,Horas extraordinarias,1000
2017,G,P,9202,14300,Otro personal laboral,120000
2017,G,P,9202,15000,Complemento de Productividad.,19300
2017,G,P,9202,15100,Gratificaciones,5000
2017,G,P,9202,16000,Seguridad Social. Personal Funcionario,38000
2017,G,P,9202,16001,Seguridad Social. Personal laboral,63500
2017,G,P,9202,16200,Formación y perfeccionamiento personal funcionario,250
2017,G,P,9202,16300,Formación y perfeccionamiento personal laboral,250
2017,G,P,9202,20300,"Arrendamientos de maquinaria, instalaciones y utillaje",1500
2017,G,P,9202,20400,Arrendamientos. Material de Transporte,4900
2017,G,P,9202,20900,Cánones,5000
2017,G,P,9202,21300,"Reparaciones, mantenimiento y conservación. Maquinaría, inst",93000
2017,G,P,9202,21400,"Reparaciones, mantenimiento y conservación. Material de tran",3500
2017,G,P,9202,22000,Material de oficina no inventariable,29700
2017,G,P,9202,22001,"Prensa, revistas, libros y otras publicaciones",1000
2017,G,P,9202,22100,Suministro energía eléctrica,58250
2017,G,P,9202,22101,Suministro agua,100000
2017,G,P,9202,22103,Suministro combustible y carburantes,26000
2017,G,P,9202,22106,Productos farmacéuticos y material sanitario,100
2017,G,P,9202,22110,Productos de limpieza y aseo,100
2017,G,P,9202,22199,Otros suministros,20000
2017,G,P,9202,22200,Servicios de telecomunicaciones,120000
2017,G,P,9202,22201,Servicios postales,60000
2017,G,P,9202,22202,Telegráficas,100
2017,G,P,9202,22300,Transportes,1000
2017,G,P,9202,22400,Primas de seguros,170000
2017,G,P,9202,22500,Tributos Estatales,8100
2017,G,P,9202,22601,Atenciones protocolarias y representativas,100
2017,G,P,9202,22603,Publicación en diarios oficiales,20000
2017,G,P,9202,22606,"Reuniones, conferencias y cursos",300
2017,G,P,9202,22610,Sanciones,100
2017,G,P,9202,22699,Otros gastos diversos,2000
2017,G,P,9202,22700,Limpieza y aseo,143600
2017,G,P,9202,22799,Otros trabajos realizados por otras empresas,50000
2017,G,P,9202,23130,Locomoción del personal,5000
2017,G,P,9202,62300,"Maquinaria, instalaciones y utillaje",120000
2017,G,P,9202,62500,Mobiliario,40000
2017,G,P,9250,12003,Retribuciones básicas. Sueldos del Grupo C1,22700
2017,G,P,9250,12004,Retribuciones básicas. Sueldos del Grupo C2,9300
2017,G,P,9250,12006,Retribuciones básicas. Trienios,4200
2017,G,P,9250,12100,Retribuciones complementarias. Complemento de destino,17150
2017,G,P,9250,12101,Retribuciones complementarias. Complemento de destino,27150
2017,G,P,9250,13000,Retribuciones básicas,34900
2017,G,P,9250,15000,Complemento productividad,16880
2017,G,P,9250,16000,Seguridad Social. Personal Funcionario,26200
2017,G,P,9250,16001,Seguridad Social. Personal Laboral,10730
2017,G,P,9250,16200,Formación y perfeccionamiento personal funcionario,250
2017,G,P,9250,16300,Formación y perfeccionamiento personal laboral,250
2017,G,P,9250,21600,Reparac. Mantenimiento equipos procesos informáticos,40400
2017,G,P,9250,22699,Otros gastos diversos,900
2017,G,P,9250,22799,Otros trabajos realizados por otras empresas y profesionales,77000
2017,G,P,9290,50000,Fondo de Contingencia,150000
2017,G,P,9310,12000,Retribuciones básicas. Sueldos del Grupo A1,17200
2017,G,P,9310,12003,Retribuciones básicas. Sueldos del Grupo C1,22800
2017,G,P,9310,12004,Retribuciones básicas. Sueldos del Grupo C2,27500
2017,G,P,9310,12006,Retribuciones básicas. Trienios,11200
2017,G,P,9310,12100,Retribuciones complementarias. Complemento de destino,38500
2017,G,P,9310,12101,Retribuciones complementarias. Complemento específico,76500
2017,G,P,9310,15000,Complemento de productividad,55500
2017,G,P,9310,15100,Gratificaciones,2000
2017,G,P,9310,16000,Seguridad Social. Personal Funcionario,55500
2017,G,P,9310,16200,Formación y perfeccionamiento personal funcionario,250
2017,G,P,9310,21600,Reparac. Mantenimiento equipos procesos informácion,20000
2017,G,P,9310,22001,"Prensa, revistas, libros y otras publicaciones",500
2017,G,P,9310,22699,Otros gastos diversos,300
2017,G,P,9310,22799,Otros trabajos realizados por otras empresas,2000
2017,G,P,9330,63201,"Inversión, reposición edificios y otras construcciones",30000
2017,G,P,9341,12000,Retribuciones básicas. Sueldos del Grupo A1,17200
2017,G,P,9341,12003,Retribuciones básicas. Sueldos del Grupo C1,78800
2017,G,P,9341,12004,Retribuciones básicas. Sueldos del Grupo C2,28200
2017,G,P,9341,12006,Retribuciones básicas. Trienios,15800
2017,G,P,9341,12100,Retribuciones complementarias. Complemento de destino,69500
2017,G,P,9341,12101,Retribuciones complementarias. Complemento específico,123600
2017,G,P,9341,15000,Complemento de Productividad.,85300
2017,G,P,9341,15100,Gratificaciones,2500
2017,G,P,9341,16000,Seguridad Social. Personal Funcionario,85000
2017,G,P,9341,16200,Formación y perfeccionamiento personal funcionario,250
2017,G,P,9341,20600,Arrendamientos de equipos para procesos de información,90000
2017,G,P,9341,21600,Reparaciones y mantenimiento equip. Procesos informáticos,18937
2017,G,P,9341,22001,"Prensa, revistas, libros y otras publicaciones",200
2017,G,P,9341,22002,Material informático no inventariable,3630
2017,G,P,9341,22200,Servicios de Telecomunicaciones,3000
2017,G,P,9341,22603,Publicación en diarios oficiales,1500
2017,G,P,9341,22708,Convenio AEAT,10000
2017,G,P,9341,22799,Otros trabajos realizados por otras empresas y profesionales,120000
2017,G,P,9341,35900,Intereses demora contratistas,25000
2017,G,P,9341,62300,"Maquinaria, instalaciones y utillaje",6000
2017,G,P,9410,46700,Transferencias a Consorcio de transportes,335000
2017,G,P,9420,46300,Transferencias a Mancomunidades,433350
